,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_54', 'y_60']",10,"['CDEADD39', '2F54B934', '370EA452', 'D12A04B5', 'AEBC3E33', '8FB8F9AC', '6DEEB75A', 'DEDBE4D1', '082F02D4', 'D785F1DB', '3EF62CB2', '66CCA561', '7799CC91', '65ADD747', '2437A4F3', 'D7C43D99', '6525562D', 'CB59BAEF', '97497BF2', '371C2B7D', '9E9D1527', '076FC760', 'D82D48E9', 'D95F569E']",1,unconfirmed
creature_1,"['x_70', 'y_70']",11,"['0D938C9B', 'E251EA60', '74C81EA5', '6EB352F3', 'F7C21073', '8594164E', '806E7012', '4C8F6222', 'B5916923', 'DCBDE291', 'FC8664F3', '59855D6A', 'E6161127', '106F85E2', '265E4C7D', '66241126', '9E77A935', '55E3F914', 'DD3BCC3A', '22C48001', '16F5ACF6', 'F2AC6008', 'EC0D4F79', 'A76E761F']",1,unconfirmed
creature_2,"['x_78', 'y_77']",10,"['FF996AE1', '77C5CE9C', 'AF6B39B7', 'C64E3BEA', '549DD11E', '4DEBB56A', 'C07A0D99', 'AE5551C7', 'C3A64585', '4D7ECA98', '971D8107', 'FD5B6666', 'AAF47798', '48AFAA2F', 'CC90E2C1', 'CBD43393', '13982FEA', '111D111A', 'CCA1522B', '7A486105', 'CFC6E168', '41881DB4', '86F283E1', '43C91679']",1,unconfirmed
creature_3,"['x_12', 'y_27']",10,"['3725B2B4', 'C08D1B9F', '329D9B2C', 'CDAE37F7', '3BC7993B', '7ECA0FC6', 'C4FEDB4B', 'F9D533EC', '3BC898FD', '9636D2A0', 'C103BEDC', '1ABC6AB1', '650D0FFA', '6248652D', '9B4DEACB', '663CE6FC', 'B395634F', '1E5BCAE5', 'F65D57F4', 'CC1D687B', '8960B19C', 'EAB00657', 'A07E40FA', 'FDEB6A34']",1,unconfirmed
creature_4,"['x_74', 'y_86']",10,"['751CEE35', '124ED2D8', 'AD98566A', 'D962165E', 'B5108375', 'A064A0BD', 'F35BAD9E', '458FC64B', 'F0226BB3', '9E65853A', '32A2ABBC', '87C4745D', '9488FE51', 'D562EDF0', '88BA7F8C', 'F7E4B334', '0C17A4F9', '94C6FE39', '095F1778', '6368AD27', '0D8F79C2', '438BA1C2', 'F74C12A5', '76AC310F']",1,unconfirmed
creature_5,"['x_69', 'y_31']",10,"['5F1E904B', '08868F1D', '9A78030D', '97497BF2', '8CF6F3C3', 'F6A1838A', '2F54B934', 'A195FFC5', '0230A017', '00A0AA46', '2EC535DF', '66CCA561', '6DEEB75A', '79308DBB', '43073A26', '13D2D16A', 'CC9FD11E', '084E5216', '8FB8F9AC', '78521D68', 'AC476EB2', 'A41098A9', '67263A7F', 'B8C44BCD']",1,unconfirmed
creature_6,"['x_28', 'y_99']",10,"['F84C37A2', 'DD424B7A', '0DF84C43', 'A3C162BD', 'C97B60DF', '80CFC37F', '24C661E2', '42476F7D', '8D7D26A5', '5172C0FB', '6904875F', '634B0C2D', '353B3A11', '198EF178', 'C238BF50', '514578C5', '10640D49', '45B59A5E', 'A81FF61A', '698361F1', '4652109F', 'A1DCEA2D', '3E2589E3', '9F2E4E7C']",1,unconfirmed
creature_7,"['x_65', 'y_84']",11,"['4F4F0C1E', '42B73ADB', 'BE3D6B90', 'F7FD421C', 'BC18B414', 'E240F931', '586E102F', '896D195C', '30CF0D56', '2A77B1F1', '15CC2D4A', '1DDBCBC4', 'FDA09B5D', '9E2D0922', 'AC9F6155', 'E1383BC4', '4C98F5AF', 'AA056837', '5F7C187E', '1DF12B25', 'BD9BCB41', 'FF7C5193', '4998C1F1', '76E2D685']",1,unconfirmed
creature_8,"['x_80', 'y_45']",11,"['6D443B05', '2482CBC9', '320BB1A9', '17CA1A00', '29F95442', '1AC8A067', 'D31548AE', '83F4E373', '34E40A06', 'BE83F1BA', '35D72B12', '53EF661B', '0C17A4F9', '00BE17FB', 'A064A0BD', '7CF5F8BD', 'D962165E', '418F1A28', '74F6A26E', '124ED2D8', '10E18CCB', 'F74C12A5', '712DBFCB', 'BEE83FF2']",1,unconfirmed
creature_9,"['x_88', 'y_43']",10,"['FD5A6666', '7A486105', '6738F46A', 'CAD43393', '3AECC3EB', 'CC90E2C1', '63A03510', 'C138FC82', 'C8F79833', 'D863442B', 'A08FEB2B', '86F283E1', 'EA13479A', 'D83B5C45', '3ED5E3AA', '91B1AE92', '250E7297', '2573BD63', '26D4A99C', '679EF47B', 'B261288D', '6115FC2C', 'E1B17E00', '41881DB4']",1,unconfirmed
creature_10,"['x_51', 'y_24']",10,"['A5EF648A', '5790524A', 'F475CBAC', '370EA452', '11A12347', '076FC760', '7F058275', 'B429125E', '9E0D8822', '6CE6448B', 'A7E6FCBB', '6525562D', '47B89CDE', '0EA18882', 'B395634F', '1A49E540', 'AEBC3E33', '6248652D', 'F9D533E4', 'EE4F7E39', 'CB59BAEF', '048B4166', '3F318908', '7799CC91']",1,unconfirmed
creature_11,"['x_53', 'y_6']",10,"['2D3FB62F', '482FBA8A', '2639168B', '9EFF1297', 'A5536138', '971667C9', '3A492382', '76AC310F', '438BA1C2', '0D8F79C2', '92BCB073', '2D6825A4', '753C2ADF', '5A2BC3F4', '74AB9921', '436656ED', 'F1FF0F18', 'EEF1F186', '88BA7F8C', '34B99870', '5727C9C4', 'C426B198', '525C800D', '2215AFE1']",1,unconfirmed
creature_12,"['x_27', 'y_120']",10,"['F20782C2', '6EB352F3', '72EE93B4', 'B524B98E', 'A73CF639', 'F2AC6008', 'B816DDE3', 'BBE0D122', '1A005134', 'F6CE7166', 'B567722A', '0B79A9E7', '6AB278CC', 'E1BB622E', '2BE43F8B', 'C5805162', '37B39877', 'FFDAA5C4', '1DB329F7', '1A6EC4F1', 'D9F64BBE', '25DCD285', 'E2161127', 'E251EA60']",1,unconfirmed
