,Coordinates,Oscillator_period
creature_0,"['x_101', 'y_110']",10
creature_1,"['x_58', 'y_17']",10
creature_2,"['x_112', 'y_76']",10
creature_3,"['x_108', 'y_110']",10
creature_4,"['x_38', 'y_9']",10
creature_5,"['x_126', 'y_113']",10
creature_6,"['x_22', 'y_57']",10
creature_7,"['x_73', 'y_32']",10
creature_8,"['x_125', 'y_60']",10
creature_9,"['x_75', 'y_104']",10
creature_10,"['x_122', 'y_126']",10
creature_11,"['x_50', 'y_79']",10
creature_12,"['x_9', 'y_96']",10
creature_13,"['x_125', 'y_8']",10
creature_14,"['x_9', 'y_31']",10
creature_15,"['x_75', 'y_103']",10
creature_16,"['x_79', 'y_127']",10
creature_17,"['x_38', 'y_29']",10
creature_18,"['x_6', 'y_0']",10
creature_19,"['x_53', 'y_35']",10
creature_20,"['x_17', 'y_4']",10
creature_21,"['x_66', 'y_44']",10
creature_22,"['x_30', 'y_32']",10
creature_23,"['x_24', 'y_101']",10
creature_24,"['x_6', 'y_16']",10
creature_25,"['x_37', 'y_96']",10
creature_26,"['x_32', 'y_110']",10
creature_27,"['x_81', 'y_109']",10
creature_28,"['x_111', 'y_42']",10
creature_29,"['x_97', 'y_20']",10
creature_30,"['x_70', 'y_82']",10
creature_31,"['x_122', 'y_99']",10
creature_32,"['x_18', 'y_115']",10
creature_33,"['x_116', 'y_8']",10
creature_34,"['x_79', 'y_46']",10
creature_35,"['x_87', 'y_36']",10
creature_36,"['x_23', 'y_41']",10
creature_37,"['x_117', 'y_7']",10
creature_38,"['x_9', 'y_11']",10
creature_39,"['x_88', 'y_44']",10
creature_40,"['x_101', 'y_1']",10
creature_41,"['x_115', 'y_34']",10
creature_42,"['x_29', 'y_61']",10
creature_43,"['x_23', 'y_36']",10
creature_44,"['x_70', 'y_28']",10
creature_45,"['x_40', 'y_36']",10
creature_46,"['x_95', 'y_83']",10
creature_47,"['x_32', 'y_17']",10
creature_48,"['x_121', 'y_87']",10
creature_49,"['x_106', 'y_104']",10
creature_50,"['x_65', 'y_53']",10
creature_51,"['x_51', 'y_47']",10
creature_52,"['x_118', 'y_42']",10
creature_53,"['x_1', 'y_113']",10
creature_54,"['x_32', 'y_105']",10
creature_55,"['x_96', 'y_82']",10
creature_56,"['x_92', 'y_10']",10
creature_57,"['x_11', 'y_80']",10
creature_58,"['x_38', 'y_89']",10
creature_59,"['x_49', 'y_92']",10
creature_60,"['x_100', 'y_64']",10
creature_61,"['x_2', 'y_62']",10
creature_62,"['x_127', 'y_0']",10
creature_63,"['x_103', 'y_3']",10
creature_64,"['x_116', 'y_91']",10
creature_65,"['x_9', 'y_69']",10
creature_66,"['x_98', 'y_56']",10
creature_67,"['x_89', 'y_115']",10
creature_68,"['x_70', 'y_34']",10
creature_69,"['x_27', 'y_45']",10
creature_70,"['x_117', 'y_33']",10
creature_71,"['x_77', 'y_103']",10
creature_72,"['x_103', 'y_108']",10
creature_73,"['x_53', 'y_41']",10
creature_74,"['x_94', 'y_21']",10
creature_75,"['x_92', 'y_77']",10
creature_76,"['x_5', 'y_116']",10
creature_77,"['x_7', 'y_113']",10
creature_78,"['x_48', 'y_88']",10
creature_79,"['x_78', 'y_43']",10
creature_80,"['x_4', 'y_61']",10
creature_81,"['x_98', 'y_46']",10
creature_82,"['x_100', 'y_10']",10
creature_83,"['x_6', 'y_77']",10
creature_84,"['x_94', 'y_124']",10
creature_85,"['x_30', 'y_97']",10
creature_86,"['x_86', 'y_21']",10
creature_87,"['x_33', 'y_47']",10
creature_88,"['x_42', 'y_117']",10
creature_89,"['x_116', 'y_34']",10
creature_90,"['x_32', 'y_98']",10
creature_91,"['x_9', 'y_46']",10
creature_92,"['x_17', 'y_61']",10
creature_93,"['x_0', 'y_51']",10
creature_94,"['x_92', 'y_37']",10
creature_95,"['x_80', 'y_95']",10
creature_96,"['x_115', 'y_18']",10
creature_97,"['x_84', 'y_8']",10
creature_98,"['x_40', 'y_111']",10
creature_99,"['x_65', 'y_95']",10
