,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_126', 'y_120']",10,"['3C98EC26', '3C4B6BB3', '2BDED654', '60FFE203', '7E9F5D1A', '4ACC7240', '61422466', 'EC7DF3C5', '8F88DF8C', 'FD818DC7', '3875B979', '93FC3ECE', '77972078', 'D25A8218', 'B422B23B', '599B32C2', '66D35C83', '26D96DE7', '92BC437F', '4409C73F', '069CDEDC', 'CB1EE4A6', '1A0658C6', 'AA73AE3B']",54,Survived
creature_1,"['x_26', 'y_12']",61,"['3CADE829', 'D69402AC', '1FF4E2B7', 'C3511840', '05C72989', '80B2F9D2', '1619E8BF', 'DEC8F315', '669B3447', '0976CCCC', '05EEB1BC', 'C6D95102', '4D327709', '1F8C0E23', '421FD0F6', '5BBC634A', '59D68293', '6E6629E9', 'DD02FD77', 'CD740434', '4D323709', '5779B169', 'AE0D29A3', 'C6D95102']",54,Died
creature_2,"['x_68', 'y_53']",56,"['AE0D29A3', 'FA466AF6', 'C6D95102', '3B951B04', '7834F793', '39615F4A', '26FCC6BC', 'DB9E0966', 'AE8C7899', '2F32A9E2', '60FFE203', 'CD740434', '421FD0F6', '84618BAA', 'C6D95102', '1FF4E2B7', 'DD02FD77', 'A63DB314', '5779B169', '398087EE', '9D15816A', '4D323709', 'DEC8F315', '3719B10E']",54,Survived
creature_3,"['x_121', 'y_92']",10,"['96441AAB', '65018592', '26D96DE7', 'B917B97D', '4E30D627', '843D6D41', 'CA1EE4A4', 'DABA7092', 'B24193E2', 'EB6C492D', '1619E8BF', '93FC3ECE', '7BA96BA7', '98A417BC', 'B0AD8764', 'ED4C675A', 'D698BFD3', '7EB3E77B', '4B3A6399', '4334E12E', '8E08943C', 'D35BC59B', '1A91A40E', '8E2F6A08']",54,Survived
creature_4,"['x_126', 'y_118']",64,"['19DC08B9', '370BA332', 'CED37AF9', '3EE1E875', 'FD91CE8E', '26FCC6BC', 'DD02FD77', 'F56D0CE5', '00DA71AB', '2DFB8096', '5B08BF46', '352B87C5', '01760337', 'C984DC12', '96441AAB', '74B2A540', '668EF5DC', '6AB30EFF', 'EB6C492D', '0ED10587', '1516EAF1', '1FF4E2B7', '9730AC0C', '2A919B9F']",54,Survived
creature_5,"['x_108', 'y_77']",57,"['2CD1C27E', 'FBFD0655', '06319E80', '23681639', '4D323709', '31D68CD7', '26FCC6B4', 'EB092048', '1F8C0E23', '39217F56', '19EDE354', 'D7774606', '3515223E', '17EB80B8', '9D772F33', '6F6B583E', '50008477', 'F7269C2C', '05EEB1BC', 'B928B8E5', '48D2AD62', '94582CFB', '7E7D3A16', '6D70F992']",54,Survived
creature_6,"['x_110', 'y_88']",10,"['EB6C492D', '26CE880F', '9C4E4E2E', 'EED614EE', '26D96DE7', '9F355F33', '31D68CD7', 'D35BC59B', '3A66D717', 'D35BC59B', 'F91B6E91', '3515223E', '9C4E4EAE', '65018592', '96441AAB', '6E47AB36', 'FE927C1A', '8E08943C', 'E47530CE', '93FC3ECE', '96441AAB', '8E2F6A08', '1A91A40E', 'E95B15F5']",54,Survived
creature_7,"['x_123', 'y_114']",10,"['04E878A8', '0DD236F9', 'FBE28D75', '61422466', 'B928B8E5', 'DABA7092', 'D0849304', '398530F0', '32EA3D99', '278FC1D1', '2C454444', '71ABC68B', '781EBCDA', '5C663B20', 'CA1AE4A6', '7EB3E77B', '4A0CEEB6', 'B24193E2', '31E39283', '99BDCF85', 'F0857A2C', '6E341EB8', '4D323709', 'FE7B6B7A']",54,Survived
creature_8,"['x_106', 'y_77']",10,"['3A66D717', 'B86D6C30', 'D9809FD5', 'D8A92E3C', 'B422B23B', '8ACD51C4', 'F75B317A', '3A678B7B', 'FD818DC7', '599B32C2', 'BFAFD62E', 'B928B8E5', '77972078', '398538F0', 'DE0142E9', '4A56F74E', 'D09A0208', '2BDED654', '3E56C874', '358FD000', '47A37FCA', '8DC5BF52', '77972078', 'EF15A67E']",54,Survived
creature_9,"['x_64', 'y_107']",64,"['394A2BA7', 'D023B0A7', '191558AC', '45D4874C', 'CF0511AD', 'B82776B9', '1619E8BF', '20E632BB', 'E6001543', '4334E12E', '8045578F', 'E95B15F5', 'AF578011', 'D7F06CA2', '77972078', '7CC28797', 'BCC5E65D', '3C98EC06', '211B71E6', 'D35BC59B', 'F1B23DCA', 'D6F108B0', '7004D9AB', '2A919B9F']",54,Survived
