,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_122', 'y_0']",10,"['58971F4F', '3EAC055D', '2C2A5E00', '355E5EED', '3E2C115D', 'E9166606', 'D9373E07', 'D8DD9F27', 'EBF19DD0', '34501C6B', 'D8DD9F2B', '93D83A9C', '93F838FD', '3064F921', '375E54E5', '588F1B23', 'DB87BCD6', '355614E5', '9E942B5C', 'E3B0195D', 'DF97AF32', '3064F921', 'E9166E06', 'EBB119D4', 'DF81E15C', '3E2D091F', '9AD126F0', 'DF81E15C', 'E3B0195D', 'DF87BCF6', 'CBA179D4', '3064F8A1']",180,Survived
creature_1,"['x_120', 'y_0']",10,"['E9166E06', '9A9B0F7F', '9A912722', '9AD122E0', 'D787BD77', 'D7D7AF36', '355614E5', 'F7836368', '9A9B0F7F', '3E2C055D', 'DF81E15C', '9AD122A2', 'DF85B83C', '35D654E5', '3E2C055D', '35561DED', '3064F923', 'D707AF96', '35761DAD', '5F87AD7C', '3E2D091F', '989F121C', 'EBB119D5', 'A002050B', '5C1B1B23', 'D787AF16', 'D58FAE06', '9678089E', 'EBB539D5', 'F787BD77', '3064F8A0', '8291459D']",180,Survived
creature_2,"['x_109', 'y_127']",10,"['3EAC055D', 'DB95AF7C', '1B4126E0', '35D254E5', '3064F9A1', '3E2C095D', '58971FCB', '3D182890', '3E2D091F', '5A9F8F2B', '5A83DF5E', 'DF81C14C', 'BEDCAB5A', '361C75B8', '3E24055D', '50509B69', '1E6A509D', '3050BBE9', '9799617C', 'DF81E25C', '5B512662', '361875B8', '589F1F49', 'EDA118D4', 'DC1F1307', '3064F921', 'D785AF24', '939838FE', '9E9F0F7E', 'E3B0195D', 'FBA11994', 'EDA118D4']",180,Died
creature_3,"['x_122', 'y_121']",10,"['EBB11950', 'D68FAF16', 'F7836368', 'D785BCBC', 'D8DD8F3B', '939838FE', '9AD026E0', '166AD23D', 'D781C17C', '3C2A5C00', '9799617C', 'A28B0539', '35565CED', '9AD12EE4', '1E24055D', '989F121C', '3064F8A1', '9A9127A2', '3051FBC8', '351614E4', '588F1F23', '361875B8', '35561DED', 'BADC2B58', 'D787BD77', '335E54ED', '33D838FE', '5A83DF5E', '9AD126A6', '361875B8', '589F1F49', '35561DED']",180,Survived
creature_4,"['x_113', 'y_0']",10,"['3D182890', '3C2E055C', '3C2A5D00', '9AD122E4', '355616E5', 'EBF999D0', '11509B49', 'DF87AD7C', '3E2C115D', '92D03ABC', 'DD85AF74', '3E2C0D77', 'DF87AD7C', 'E1142E86', '375A54E5', '3E2C055D', 'EAA119C5', '9AD122E4', 'D78FAE06', '3064F923', '17561DAD', '93D838F8', 'E7B119DD', '3E2C097F', '166AD23D', '3E2C0D7F', 'ED1C2E06', '589F1723', '9A9F0F7F', '342A5E00', 'DF81C14C', '35561DED']",180,Died
creature_5,"['x_127', 'y_57']",147,"['17561DAD', '262C055D', '34101C6B', '9A9F0FFF', '589E1F49', '9E9F0F7E', 'DF85BD7C', '9AD122E4', '3E2C055D', 'B040BB19', '14101C6B', '3D182890', '166AD23D', '5B512666', 'D8DD9F2F', '1B4126E0', '355616E5', '9AD126E0', '9E542B5C', '32E8D111', 'F785E17C', '589F1F23', 'D78FAE06', '342A5E00', '588F0F23', '35561DED', '154616E5', 'EB311DD5', 'D8DD9F27', 'D78DAE06', '589D1F23', 'D787BD77']",180,Died
creature_6,"['x_126', 'y_2']",10,"['93F83898', 'A082050B', '342C055D', 'D18DAE2A', '355616ED', '166AD23D', '939838FE', '9B9D92E0', '1C2E055C', '926A9721', '3E2C055D', '9AD526A2', 'D787BD77', 'A0800D0B', '166ADA3D', '98861F8D', '354614E5', '9A9F0F76', '589F1F49', '963D566C', '3450BB19', '355614E5', '58971F23', '17561DAD', '3D182890', '1B5026E0', 'EDA118D4', '14101CEB', 'EBB11950', '9E142B5C', 'DF81E15C', 'DFD78F32']",180,Survived
creature_7,"['x_117', 'y_124']",10,"['92D038BC', 'C787BD77', '3E24055D', 'D781617D', 'EBFB99D0', '9AD026A2', 'D88F1FA3', '3068D3B9', '3C2E7E00', '34101C6B', '3064F8A1', '007CF929', 'E3B0195D', 'DF80E15C', 'D785AF24', '8291459D', 'DF85AF7C', '342C055D', '599F1F23', '13D838FE', '589F0F23', '3065E933', '9AD526A2', 'D8DD9F2B', '361875B8', 'D787BD77', '58971F4B', 'D787BF77', 'EBB53DD5', '989D113F', '9AD122A2', '375E54E5']",180,Died
creature_8,"['x_126', 'y_119']",62,"['32ECD11D', '342C055D', 'E3B0195D', '35545CED', 'DF85BD7C', '9E9F0F7E', 'DF85AF7C', '58971F4F', '5C8F1F23', '3050FBC8', '3E2D091F', 'D787BF77', '9AD122A2', '35D254E5', 'DF81E11C', '335E54E5', '9A9F0F7E', '342C055D', '007CF929', 'D78FAE06', 'DF85BD7C', 'D9273E07', '3064F8A1', '92D03ABC', '589F1D23', '3E0D091F', '92D03ABC', '1A1F0F7E', '93DA3AFE', '3E20055D', '3064F8A1', 'D781C17C']",180,Survived
creature_9,"['x_23', 'y_0']",187,"['589F9F23', 'D797BD77', '10509A49', '13D838FE', '93D838F8', '3064D8A1', '5C3B1323', '17561DAD', '32E8D119', '93D838FE', 'BAFC2B58', '262C055D', '96FC489C', 'DD87BCF6', '1B412660', '1E6A511D', 'EDA118D4', 'EBB139D5', '35565CED', '989F121C', 'EBA559D4', '93D83A9C', 'EBB119D0', '3064F8A1', '166AD23D', '17561DAD', '355616E5', '589F1F49', 'EBB119D0', 'D3C1657D', '93D838FC', '5C3B1B23']",180,Died
